id,id_str,created_at,media_url,url,type,language_code,bounding_box,country,country_code,user_loc,full_text,country_or_territory,CIME_geolocation_string,CIME_coordinates
1311271837050036226,1311271837050036226,2020-09-30 11:49:02,http://pbs.twimg.com/media/EjKSqbFXgAUIJeh.jpg,https://t.co/rW8xNZLAa8,photo,en,[0],-,GBR,"London, England",b'The WHO warned the world. It is the West that failed to listen or listened too late.Read Donald Sassoons review of @richardhorton1 s The Covid-19 Catastrophe FREE for a limited time: https://t.co/Y3hm2ZyBEm#coronavirus #COVID19 https://t.co/rW8xNZLAa8',United Kingdom,"['England', 'England, Lonoke County, Arkansas', 'England, Montgomery Township, Ashland County, Ohio']","[[52.7954791, -0.5402402866174321], [34.5442609, -91.9690285], [40.8403347, -82.2393255]]"
1311271834806038529,1311271834806038529,2020-09-30 11:49:02,http://pbs.twimg.com/media/EjKSyPrWkAA0G5h.jpg,https://t.co/UrtT0fcSkW,photo,es,[0],-,VEN,Venezuela,b'\xf0\x9f\x98\xb7Venezuela asegura que el crecimiento de casos COVID-19 es lento y sostenido https://t.co/MRz0sMc2Jj #30Sep https://t.co/UrtT0fcSkW',"Venezuela, Bolivarian Republic of","['Venezuela', 'Venezuela, Avenida Jujuy, Once, Balvanera, Buenos Aires, Comuna 6', 'Venezuela, Ciego de Ávila']","[[8.0018709, -66.1109318], [-34.6150773, -58.4047746], [21.7402006, -78.7928873]]"
1311271810219077632,1311271810219077632,2020-09-30 11:48:56,http://pbs.twimg.com/media/EjKSwVjXYAA4-XP.jpg,https://t.co/w1XMlTMMGB,photo,ca,[0],-,ESP,barcelona. catalunya.,b'Que no hi ha fingers lliures a laeroport o qu\xc3\xa8? @vueling un bon drama... Again! #COVID19 #covidparty https://t.co/w1XMlTMMGB',Spain,"['Barcelona, Barcelonès, Barcelona, Catalunya']","[[41.3828939, 2.1774322]]"
1311271727738036224,1311271727738036224,2020-09-30 11:48:36,http://pbs.twimg.com/media/EjKSr76X0AAeP7u.png,https://t.co/h0rlA6qUTg,photo,en,[0],-,DEU,,b'FIA ETRC Le Mans round cancelled Sport newsThe decision taken in the wake of the ongoing COVID-19 pandemic\xc2\xa0was announced today by the event organiser Automobile Club de l\xe2\x80\x99Ouest (ACO) in conjunction with the ETRA Promotion (FIA ETRC... - https://t.co/Nc7m6ownHf https://t.co/h0rlA6qUTg',Germany,"['automobile, Hochriesstraße, Gewerbegebiet Hochriesstraße, Tiefenbach, Flintsbach am Inn, Landkreis Rosenheim, Bayern', 'automobile, Hochriesstraße, Gewerbegebiet Hochriesstraße, Tiefenbach, Flintsbach am Inn, Landkreis Rosenheim, Bayern', 'ET-Automobile, Rüdesheimer Straße, Im Rott, Käfertal-Süd, Käfertal, Mannheim, Baden-Württemberg', 'Automobile Club, Via Luigi Rava, Borgo San Rocco, Ponte Nuovo, Ravenna, Ravenna, Emilia-Romagna', 'Club, Arua, Arua, Northern Region', ""Le Club, Sainte-Maxime, Draguignan, Var, Provence-Alpes-Côte d'Azur, France métropolitaine"", 'The Club, Fisher, Vancouver, Clark County, Washington']","[[47.7312228, 12.123552], [47.731252999999995, 12.123676950000002], [49.4992155, 8.5095268], [44.4193619, 12.2048809], [3.0289016, 30.9022278], [43.318392, 6.6657239], [45.6147194, -122.4907851290092]]"
1311271670276132864,1311271670276132864,2020-09-30 11:48:23,http://pbs.twimg.com/media/EjKSkwXWsAM6myM.jpg,https://t.co/8vIIXXJC3q,photo,pt,[0],-,BRA,"Rondônia, Brasil",b'Os profissionais de sa\xc3\xbade mais do que nunca est\xc3\xa3o em alto n\xc3\xadvel. Milhares adoeceram. Centenas morreram. Mas n\xc3\xa3o arredaram p\xc3\xa9. Um patriotismo digno de nota. Gente valente. Gente que gosta de gentehttps://t.co/qCA7CZ3T1V#BlogDoConfucio #SenadorConfucioMoura  #FiqueEmCasa https://t.co/8vIIXXJC3q',Brazil,"['Rondônia, Região Norte']","[[-10.943145, -62.8277863]]"
1311271647253598210,1311271647253598210,2020-09-30 11:48:17,http://pbs.twimg.com/media/EjKR-FhWoAAfWh8.jpg,https://t.co/nT4zPgjpq4,photo,en,[0],-,GBR,"Frome, somerset",b'#SilverSunday (4 Oct) is a day to appreciate &amp celebrate the older people in our lives. It is also a powerful day for highlighting the isolation &amp loneliness that many of our older generation face especial in #Covid19. #LetEndLoneliness https://t.co/nT4zPgjpq4',United Kingdom,"['Somerset, South West England, England', 'Somerset, South West England, England', 'Somerset, Bexar County, Texas']","[[51.083333, -3.0], [51.161750850000004, -3.0753867062227487], [29.2263504, -98.6577985]]"
1311271541313863681,1311271541313863681,2020-09-30 11:47:52,http://pbs.twimg.com/media/EjKSg2jXcAIWTpr.jpg,https://t.co/3CFHQVjvZy,photo,es,[0],-,BRA,,b'ARGENTINA SE MANTIENE EN EL PRIMER LUGAR EN POL\xc3\x8dTICAS DE G\xc3\x89NERO CONTRA EL CORONAVIRUS \xf0\x9f\x98\xb7\xf0\x9f\x99\x86\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/fP5UY8hww3 https://t.co/3CFHQVjvZy',Brazil,"['Sergipe, Região Nordeste', 'South East, England', 'استان سمنان']","[[-10.6743911, -37.3773519], [51.451019099999996, -0.9934914404975159], [35.3843145, 54.6209302]]"
1311271478848090118,1311271478848090118,2020-09-30 11:47:37,http://pbs.twimg.com/media/EjKScLhXYAIkgbw.jpg,https://t.co/2LWTeYaQuM,photo,en,[0],-,KOR,South Africa,b'Members of the SA National Defence Force assisting SA Police Service and Traffic Department in conducting a Vehicle Control Point on the N9 Noupoort Road in Northern Cape to ensure compliance with COVID-19 Regulations on our roads.#sandf#SANDF#OpsNOTLELA#COVID19SA https://t.co/2LWTeYaQuM',"Korea, Republic of","['대한민국', 'South Australia', 'Salerno, Campania', 'South Africa', 'Africa', 'Africa, Nocera Umbra, Perugia, Umbria', 'Africa, Montalvo, Río Verde, Esmeraldas']","[[36.638392, 127.6961188], [-30.5343665, 135.6301212], [40.419441649999996, 15.310756230322482], [-28.8166236, 24.991639], [11.5024338, 17.7578122], [43.1097101, 12.7752032], [1.0769962, -79.2858996]]"
1311271342575153153,1311271342575153153,2020-09-30 11:47:04,http://pbs.twimg.com/media/EjKSVkiXYAAnzYe.jpg,https://t.co/KeUWpo4gdV,photo,pt,[0],-,VUT,,b'Um total de 16 profissionais de Sa\xc3\xbade do Hospital do Esp\xc3\xadrito Santo de \xc3\x89vora (HESE) est\xc3\xa1 em confinamento profil\xc3\xa1tico em casa devido a contacto com um doente que testou positivo para a Covid-19 revelou hoje a unidade. https://t.co/7yGctJUV59 https://t.co/KeUWpo4gdV',Vanuatu,"['Espiritu Santo, Luganville, Sanma', 'Hese, Ovelgönne, Hesedorf, Bremervörde, Landkreis Rotenburg (Wümme), Niedersachsen', 'COVID, Sucre, Arena II, Manta, Manta, Manabí']","[[-15.156341050000002, 167.05107047173001], [53.4607148, 9.2008095], [-1.0477716, -80.6582902]]"
1311271308009775104,1311271308009775104,2020-09-30 11:46:56,http://pbs.twimg.com/media/EjKSTfuU4AADEyb.jpg,https://t.co/OHFwOSMuH7,photo,in,[0],-,IDN,,b'Dalam rangka meningkatkan disiplin masyarakat dalam masa Pandemi Covid-19 Iptu Agus MusthofaS.H Panit Sabhara Polsek Purwokerto Timur beserta 6 personil Polsek Purwokerto Timur melaksanakan Operasi Yustisi bertempat di depan Polsek Jalan Gatot Subroto(30/09/2020). https://t.co/OHFwOSMuH7',Indonesia,"['polsek, Jalan Kenanggar - Nggongi, Desa Jangga Mangu, Kecamatan Karera, Sumba Timur, Nusa Tenggara Timur']","[[-10.044888199999999, 120.36319995]]"
